V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('A', 's')]; S_plus:('r', 'B'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('A', 's')]; S_plus:('B', 'u', 'C', 'D'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('A', 's')]; S_plus:('B', 'u', 'C', 'D'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('A', 's')]; S_plus:('B', 'u', 'C', 'D'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('A', 's')]; S_plus:('B', 'u', 'C', 'D'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'u'), ('A', 's')]; S_plus:('r', 'B', 'P'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'u'), ('A', 's')]; S_plus:('r', 'B', 'P'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'u'), ('A', 's')]; S_plus:('r', 'B', 'P'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('P', 'u'), ('A', 's')]; S_plus:('r', 'B', 'P'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u', 'P'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u', 'P'); T_star:[('A', 'C')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u', 'P'); T_star:[('A', 'D')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('t', 'B', 'u', 'P'); T_star:[('A', 'X')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'u', 'B'); T_star:[('A', 'B')]
V_star:['A']; S_minus:[('B', 's'), ('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('A', 's')]; S_plus:('C', 'D', 'P', 'u', 'B'); T_star:[('A', 'C')]
